Processed group: airplane - 2007_002099.jpg, Time: 17.80s, Input Tokens: 1358, Output Tokens: 968, Price: $0.0213
Processed group: airplane - 2007_004459.jpg, Time: 21.63s, Input Tokens: 1358, Output Tokens: 1047, Price: $0.0225
Processed group: airplane - 2007_004988.jpg, Time: 22.01s, Input Tokens: 1358, Output Tokens: 995, Price: $0.0217
Processed group: airplane - 2007_009030.jpg, Time: 25.87s, Input Tokens: 1358, Output Tokens: 1038, Price: $0.0224
Processed group: airplane - 2007_009348.jpg, Time: 32.69s, Input Tokens: 1358, Output Tokens: 1005, Price: $0.0219
Processed group: airplane - 2009_002448.jpg, Time: 21.33s, Input Tokens: 1358, Output Tokens: 1051, Price: $0.0226
Processed group: airplane - 2010_002532.jpg, Time: 32.72s, Input Tokens: 1358, Output Tokens: 991, Price: $0.0217
Processed group: airplane - 2010_005106.jpg, Time: 23.87s, Input Tokens: 1358, Output Tokens: 1017, Price: $0.0220
Processed group: bicycle - 2008_005839.jpg, Time: 36.75s, Input Tokens: 1358, Output Tokens: 945, Price: $0.0210
Processed group: bicycle - 2009_000015.jpg, Time: 45.31s, Input Tokens: 1358, Output Tokens: 1038, Price: $0.0224
Processed group: bicycle - 2009_003519.jpg, Time: 35.21s, Input Tokens: 1358, Output Tokens: 1131, Price: $0.0238
Processed group: bicycle - 2010_000685.jpg, Time: 18.45s, Input Tokens: 1358, Output Tokens: 1031, Price: $0.0223
Processed group: bicycle - 2010_003799.jpg, Time: 36.33s, Input Tokens: 1358, Output Tokens: 1015, Price: $0.0220
Processed group: bicycle - 2010_004072.jpg, Time: 22.83s, Input Tokens: 1358, Output Tokens: 1053, Price: $0.0226
Processed group: bicycle - 2010_004154.jpg, Time: 16.00s, Input Tokens: 1358, Output Tokens: 1030, Price: $0.0222
Processed group: bicycle - 2010_005111.jpg, Time: 21.61s, Input Tokens: 1358, Output Tokens: 963, Price: $0.0212
Processed group: bird - 2007_003330.jpg, Time: 13.12s, Input Tokens: 1358, Output Tokens: 900, Price: $0.0203
Processed group: bird - 2008_000861.jpg, Time: 20.79s, Input Tokens: 1358, Output Tokens: 1069, Price: $0.0228
Processed group: bird - 2008_001387.jpg, Time: 17.42s, Input Tokens: 1358, Output Tokens: 938, Price: $0.0209
Processed group: bird - 2009_000746.jpg, Time: 23.69s, Input Tokens: 1358, Output Tokens: 980, Price: $0.0215
Processed group: bird - 2009_001693.jpg, Time: 15.89s, Input Tokens: 1358, Output Tokens: 997, Price: $0.0217
Processed group: bird - 2009_004334.jpg, Time: 51.12s, Input Tokens: 1358, Output Tokens: 1145, Price: $0.0240
